▶ running per-file parallel test suite via run_tests_parallel.py
  (TZ=UTC LANG=C.UTF-8 PYTHONHASHSEED=0; clean env)
Discovered 1976 test files (~37961 tests) under ['tests']; running with -j 28
[  0.0% |     5/~37961 | ✓5 | ✗0] ✓ tests/acp_adapter/test_detect_provider_entra.py (5✓, 7.9s)
[  0.0% |    10/~37961 | ✓10 | ✗ 0] ✓ tests/agent/lsp/test_backend_gate.py (5✓, 7.9s)
[  0.0% |    16/~37961 | ✓16 | ✗ 0] ✓ tests/acp/test_registry_manifest.py (6✓, 8.4s)
[  0.1% |    22/~37961 | ✓22 | ✗ 0] ✓ tests/acp_adapter/test_acp_commands.py (6✓, 8.9s)
[  0.1% |    28/~37961 | ✓28 | ✗ 0] ✓ tests/agent/lsp/test_client_e2e.py (6✓, 9.1s)
[  0.1% |    35/~37961 | ✓35 | ✗ 0] ✓ tests/acp/test_session_provenance.py (7✓, 9.4s)
[  0.1% |    42/~37961 | ✓42 | ✗ 0] ✓ tests/agent/lsp/test_broken_set.py (7✓, 9.6s)
[  0.1% |    50/~37961 | ✓50 | ✗ 0] ✓ tests/acp/test_approval_isolation.py (8✓, 9.8s)
[  0.2% |    58/~37961 | ✓58 | ✗ 0] ✓ tests/agent/lsp/test_powershell_server.py (8✓, 9.8s)
[  0.2% |    66/~37961 | ✓66 | ✗ 0] ✓ tests/agent/lsp/test_lifecycle.py (8✓, 10.4s)
[  0.2% |    74/~37961 | ✓74 | ✗ 0] ✓ tests/acp_adapter/test_acp_images.py (8✓, 10.8s)
[  0.2% |    83/~37961 | ✓83 | ✗ 0] ✓ tests/acp/test_permissions.py (9✓, 11.2s)
[  0.2% |    93/~37961 | ✓93 | ✗ 0] ✓ tests/acp/test_auth.py (10✓, 11.3s)
[  0.3% |   101/~37961 | ✓101 | ✗  0] ✓ tests/acp/test_mcp_e2e.py (8✓, 11.7s)
[  0.3% |   108/~37961 | ✓110 | ✗  0] ✓ tests/acp/test_ping_suppression.py (9✓, 11.7s)
[  0.3% |   118/~37961 | ✓120 | ✗  0] ✓ tests/acp/test_entry.py (10✓, 12.3s)
[  0.3% |   129/~37961 | ✓131 | ✗  0] ✓ tests/acp/test_session_db_private_access.py (11✓, 13.0s)
[  0.3% |   131/~37961 | ✓133 | ✗  0] ✓ tests/agent/test_anthropic_billing_guidance.py (2✓, 4.5s)
[  0.4% |   141/~37961 | ✓143 | ✗  0] ✓ tests/acp/test_edit_approval.py (10✓, 14.3s)
[  0.4% |   155/~37961 | ✓157 | ✗  0] ✓ tests/agent/lsp/test_install_and_lint_fixes.py (14✓, 15.2s)
[  0.4% |   160/~37961 | ✓162 | ✗  0] ✓ tests/agent/lsp/test_service.py (5✓, 7.5s)
[  0.5% |   171/~37961 | ✓173 | ✗  0] ✓ tests/agent/lsp/test_diagnostics_field.py (11✓, 15.7s)
[  0.5% |   176/~37961 | ✓178 | ✗  0] ✓ tests/agent/test_account_usage.py (5✓, 7.1s)
[  0.5% |   180/~37961 | ✓182 | ✗  0] ✓ tests/agent/test_anthropic_oauth_pkce.py (4✓, 6.0s)
